Number	Core	Pan
4	13460	35344
4	11793	35482
4	13296	36741
4	11082	36742
4	12845	36775
4	13427	36462
4	12045	35773
4	10979	36263
4	12681	36314
4	13270	35944
4	11949	35309
4	11079	35145
4	11155	35604
4	10142	34753
4	12906	35627
4	11636	34948
4	12137	34745
4	13106	37154
4	11417	38189
4	12318	37986
4	13077	36890
4	12570	37512
4	10431	37784
4	11953	37850
4	12623	37464
4	11395	36680
4	12753	35879
4	13659	35679
4	14491	34248
4	13660	35460
4	11404	35264
4	13166	35364
4	13920	35001
4	12354	34241
4	12090	36527
4	12588	35857
4	11991	36538
4	10136	36214
4	11616	36297
4	12277	35842
4	10902	35269
4	13456	35649
4	12995	36316
4	10972	36020
4	12564	36087
4	13394	35075
4	11797	35144
4	13562	35261
4	11228	35227
4	12974	35349
4	13721	34981
4	12216	34110
4	10899	36039
4	12548	36134
4	13241	35715
4	11951	34944
4	10835	35002
4	11111	35451
4	10108	34491
4	12836	35493
4	11619	34714
4	12169	34425
4	12161	38034
4	13108	37786
4	13689	37247
4	13274	37391
4	11051	37599
4	12639	37654
4	13306	37300
4	11805	36725
4	11827	37930
4	11980	38263
4	11843	37721
4	10023	37796
4	11309	37864
4	11940	37432
4	10475	37024
4	12897	38021
4	12808	37448
4	10808	37526
4	12279	37565
4	13059	36621
4	11391	36801
4	13174	37501
4	10894	37848
4	12461	37913
4	13105	37543
4	11663	36881
4	10859	37320
4	12374	37393
4	13022	37007
4	11640	36379
4	10736	36722
4	10909	37109
4	9820	36313
4	12492	37159
4	11233	36534
4	11752	36279
4	12914	36364
4	13307	36188
4	12756	36403
4	10801	36073
4	12337	36149
4	13020	35723
4	11353	35429
4	14258	35968
4	13829	36157
4	11658	35821
4	13358	35907
4	14210	34955
4	12329	35216
4	14238	35682
4	11860	35574
4	13670	35659
4	14414	35328
4	12643	34693
4	11543	35892
4	13284	35960
4	13995	35590
4	12411	35050
4	11510	34841
4	11748	35273
4	10527	34584
4	13551	35345
4	12111	34815
4	12653	34566
4	12664	36902
4	12496	36315
4	10663	35775
4	12119	35862
4	12934	34837
4	11063	35254
4	12542	36766
4	10589	36613
4	12087	36710
4	12762	36283
4	11155	35892
4	10504	36106
4	11929	36199
4	12584	35702
4	11071	35363
4	10522	34883
4	10707	35199
4	9529	34645
4	12229	35280
4	10849	34904
4	11326	34540
4	13590	36536
4	11444	36391
4	13102	36473
4	13944	35505
4	12108	35708
4	11354	35798
4	12955	35872
4	13797	34901
4	12028	35110
4	11313	34641
4	11648	34370
4	10280	34460
4	13381	34434
4	11745	34655
4	12390	33737
4	11363	36270
4	13062	36356
4	13743	35967
4	12258	35337
4	11310	35436
4	11518	35850
4	10334	35076
4	13282	35911
4	11903	35314
4	12429	35053
4	11192	34920
4	11445	35310
4	10290	34566
4	13151	35357
4	11805	34792
4	12358	34491
4	11391	34113
4	10236	33255
4	10482	33857
4	12061	34065
4	13198	37111
4	11361	38243
4	12427	37966
4	13169	36897
4	12687	37450
4	10509	37745
4	12165	37805
4	12789	37375
4	11662	36617
4	12665	35834
4	13762	35546
4	14568	34113
4	13779	35258
4	11482	35104
4	13375	35149
4	14105	34805
4	12624	34039
4	12066	36555
4	12545	35862
4	11974	36483
4	10109	36179
4	11674	36258
4	12302	35769
4	11008	35235
4	13597	35561
4	13100	36155
4	11015	35905
4	12745	35914
4	13574	34930
4	12036	34984
4	13690	35104
4	11300	35113
4	13220	35180
4	13916	34838
4	12506	33969
4	10951	35833
4	12772	35918
4	13439	35491
4	12222	34708
4	10953	34787
4	11192	35224
4	10304	34257
4	13064	35245
4	11869	34447
4	12437	34195
4	12044	38094
4	13179	37809
4	13767	37271
4	13365	37361
4	11151	37599
4	12854	37631
4	13471	37246
4	12083	36688
4	11749	38038
4	11884	38383
4	11766	37772
4	9957	37884
4	11353	37939
4	11902	37446
4	10578	37068
4	13003	38078
4	12895	37399
4	10856	37538
4	12448	37552
4	13198	36589
4	11623	36771
4	13287	37489
4	10978	37890
4	12686	37949
4	13279	37529
4	11963	36889
4	10914	37263
4	12596	37347
4	13191	36904
4	11926	36271
4	10864	36703
4	10995	37007
4	10028	36248
4	12710	37067
4	11485	36462
4	12034	36156
4	12840	36349
4	13188	36174
4	12657	36338
4	10748	36027
4	12358	36074
4	12993	35638
4	11465	35328
4	14353	35891
4	13894	36004
4	11702	35728
4	13512	35748
4	14368	34828
4	12566	35057
4	14343	35514
4	11937	35476
4	13874	35517
